timestep,reward
473178,-0.0754
487356,-0.0609
501459,-0.0725
515749,-0.089
530150,-0.0806
544550,-0.0826
558787,-0.0927
573016,-0.0736
587613,-0.0642
602143,-0.0711
616886,-0.0786
631229,-0.0762
645605,-0.07
659804,-0.0654
674057,-0.0568
688776,-0.0593
703025,-0.0876
717019,-0.0714
731660,-0.0587
746722,-0.0503
760840,-0.0761
775061,-0.0709
789399,-0.0739
803590,-0.0597
818479,-0.0708
833078,-0.0693
848022,-0.0739
862706,-0.0589
877291,-0.0764
891881,-0.064
906669,-0.0732
920839,-0.0786
935417,-0.0688
950133,-0.0856
964418,-0.0789
979501,-0.0655
994391,-0.0686
1009217,-0.0585
1023463,-0.0591
1038453,-0.0736
1053396,-0.0767
1068456,-0.0628
1082923,-0.0641
1098139,-0.07
1112496,-0.0755
1127679,-0.0685
1142570,-0.0699
1157197,-0.0677
1172268,-0.0636
1187187,-0.0686
1202340,-0.0631
1217150,-0.0633
1232027,-0.064
1246792,-0.0662
1261320,-0.0707
1276150,-0.0678
1291114,-0.0523
1306152,-0.0688
1321406,-0.063
1336264,-0.0726
1350972,-0.0536
1366221,-0.0562
1381213,-0.0635
1396060,-0.079
1410861,-0.0526
1425915,-0.0736
1440883,-0.0657
1456139,-0.0514
1471121,-0.0698
1486341,-0.0643
1501332,-0.0773
1516211,-0.082
1531128,-0.0541
1546376,-0.0806
1560523,-0.0661
1575684,-0.0513
1590901,-0.0589
1605774,-0.0629
1620669,-0.0697
1635717,-0.0495
1650804,-0.0606
1666005,-0.0521
1680897,-0.0631
1696112,-0.0667
1711471,-0.0759
1726638,-0.0588
1742100,-0.0694
1757339,-0.0593
1772577,-0.077
1787752,-0.066
1802951,-0.0722
1818546,-0.0788
1833643,-0.0764
1849141,-0.0563
1864198,-0.0562
1879295,-0.0874
1894402,-0.0564
1909501,-0.0685
1924285,-0.0455
1939131,-0.0599
1953923,-0.0726
1968901,-0.0601
1983834,-0.0564
1999346,-0.0755
2014432,-0.0651
2029276,-0.052
2044528,-0.0705
2059758,-0.0747
2074534,-0.0666
2089560,-0.0673
2105049,-0.066
2119973,-0.0842
2135095,-0.0684
2150237,-0.0636
2165745,-0.0663
2181324,-0.0788
2196481,-0.0789
2211734,-0.0689
2226884,-0.0639
2242056,-0.0638
2257453,-0.0635
2272421,-0.0631
2287632,-0.0533
2302838,-0.0688
2317761,-0.0618
2332740,-0.0648
2347872,-0.0571
2363109,-0.0743
2377886,-0.0724
2393128,-0.0644
2408496,-0.071
2423409,-0.0466
2438172,-0.0466
2453448,-0.0619
2468243,-0.0592
2483598,-0.0789
2498871,-0.0786
2513713,-0.0762
2528659,-0.0698
2543572,-0.0599
2559025,-0.0656
2574442,-0.0635
2589286,-0.0545
2604307,-0.077
2619657,-0.0694
2635081,-0.0763
2649767,-0.07
2665100,-0.0548
2680439,-0.0514
2695930,-0.0713
2711341,-0.0593
2726680,-0.0663
2742093,-0.0667
2757786,-0.0676
2772943,-0.0587
2788491,-0.0603
2804201,-0.0734
2820028,-0.067
2835663,-0.0651
2851278,-0.0564
2866716,-0.0599
2882382,-0.0522
2898121,-0.0652
2913657,-0.0627
2928952,-0.0603
2944544,-0.0753
2960106,-0.0641
2975591,-0.0628
2990409,-0.0708
3005818,-0.0478
3020881,-0.0475
3036274,-0.0467
3051843,-0.0603
3067292,-0.0734
3083066,-0.0259
3098539,-0.0627
3114107,-0.0634
3129289,-0.0746
3144288,-0.0521
3159914,-0.0649
3175040,-0.0746
3190479,-0.0653
3205644,-0.0595
3220503,-0.0682
3235656,-0.057
3251198,-0.0741
3266072,-0.0789
3281219,-0.0862
3296501,-0.0718
3311596,-0.0555
3326429,-0.0628
3341415,-0.0731
3356504,-0.0519
3371984,-0.0601
3387224,-0.0611
3402676,-0.0622
3418204,-0.0598
3433469,-0.0642
3448754,-0.0688
3463865,-0.0689
